peptide_id	TIGRFAM_id	definition	Evalues
Eucgr.L03576.1.p	TIGR03404	TIGR03404[bicupin_oxalic: bicupin, oxalate decarboxylase family]	TIGR03404[3.6e-05]
Eucgr.L03585.1.p	TIGR00797	TIGR00797[matE: MATE efflux family protein]	TIGR00797[7.4e-08]
Eucgr.L03617.1.p	TIGR01788	TIGR01788[Glu-decarb-GAD: glutamate decarboxylase]	TIGR01788[8.4e-30]
Eucgr.L03651.1.p	TIGR00817	TIGR00817[tpt: Tpt phosphate/phosphoenolpyruvate translocator]	TIGR00817[2e-09]
Eucgr.L03682.1.p	TIGR03903,TIGR03724	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]; TIGR03724[arch_bud32: Kae1-associated kinase Bud32]	TIGR03903[3e-19]; TIGR03724[1.2e-06]
Eucgr.L03693.1.p	TIGR02037,TIGR02038	TIGR02037[degP_htrA_DO: peptidase Do]; TIGR02038[protease_degS: periplasmic serine peptidase DegS]	TIGR02037[5.8e-24]; TIGR02038[3e-11]
Eucgr.L03711.1.p	TIGR01571	TIGR01571[A_thal_Cys_rich: uncharacterized Cys-rich domain]	TIGR01571[1.7e-14]
Eucgr.L03727.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[3.3e-10]
Eucgr.L03744.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[4.8e-07]
Eucgr.L03752.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[1.3e-05]
